,Наименование вакансии,"Зарплата, верхняя планка","Зарплата, нижняя планка",Валюта,Ссылка,Источник
72,Lead/Senior Data Scientist,,,,https://hh.ru/vacancy/79826622,HeadHunter
73,Data Scientist,,,,https://hh.ru/vacancy/79434478,HeadHunter
74,Data Scientist / ML-engineer (Middle+) со знание python в проект по искусственному интеллекту,,150000.0,RUR,https://hh.ru/vacancy/78405101,HeadHunter
75,Senior Data Scientist,,,,https://hh.ru/vacancy/79796953,HeadHunter
76,Data Scientist,,,,https://hh.ru/vacancy/79546407,HeadHunter
77,"Data Scientist (Gurobi, Cplex, SCIP, CBC)",,,,https://hh.ru/vacancy/79177142,HeadHunter
78,Data scientist,,,,https://hh.ru/vacancy/73139690,HeadHunter
79,Machine Learning Engineer (Data Scientist) / Data Analyst,,,,https://hh.ru/vacancy/79652002,HeadHunter
80,Аналитик данных/Middle Data scientist (Computer Vision),,,,https://hh.ru/vacancy/77557349,HeadHunter
81,Data Scientist (FNB),,,,https://hh.ru/vacancy/79543345,HeadHunter
82,Data Scientist,,,,https://hh.ru/vacancy/69631571,HeadHunter
83,Senior Data Scientist,,,,https://hh.ru/vacancy/78625975,HeadHunter
84,"Senior Data Scientist, Анализ текста (DS/NLP)",,,,https://hh.ru/vacancy/78042103,HeadHunter
85,Data Scientist (Predict),,,,https://hh.ru/vacancy/73254140,HeadHunter
86,Senior Data Scientist (ML),,,,https://hh.ru/vacancy/79741773,HeadHunter
87,Data Scientist,,,,https://hh.ru/vacancy/79434477,HeadHunter
88,Data Scientist,,,,https://hh.ru/vacancy/79434479,HeadHunter
89,Data Scientist,,,,https://hh.ru/vacancy/79524764,HeadHunter
90,Cпециалист по работе с данными (Data Scientist),,,,https://hh.ru/vacancy/79167028,HeadHunter
91,Data Scientist (Computer Vision),,,,https://hh.ru/vacancy/79544553,HeadHunter
92,Data Scientist (Deep Learning for Demand Forecast),,,,https://hh.ru/vacancy/79729446,HeadHunter
93,Аналитик данных / Data Analytics,,,,https://hh.ru/vacancy/79061359,HeadHunter
94,Senior Data Scientist,,,,https://hh.ru/vacancy/78471224,HeadHunter
95,Senior Data Scientist (Комплайнс),,,,https://hh.ru/vacancy/78909534,HeadHunter
96,Data Scientist/ML (команда System Team),,,,https://hh.ru/vacancy/79615111,HeadHunter
97,Младший научный сотрудник (Junior Data Scientist),,,,https://hh.ru/vacancy/78853190,HeadHunter
98,Middle Data Scientist (e-commerce),,,,https://hh.ru/vacancy/79719665,HeadHunter
99,Data Scientist (Middle+/Senior),,,,https://hh.ru/vacancy/79079449,HeadHunter
